Age,Gender,Occupation,Region,Target
20,Female,Teacher,West,1
38,Female,Artist,North,0
50,Male,Engineer,North,1
38,Female,Artist,North,0
57,Male,Teacher,South,0
27,Male,Engineer,East,1
34,Male,Artist,West,0
26,Male,Teacher,North,0
29,Male,Engineer,North,0
31,Female,Teacher,West,1
33,Female,Engineer,South,1
37,Female,Engineer,East,1
48,Male,Engineer,West,1
22,Male,Teacher,West,0
43,Female,Artist,East,0
59,Female,Artist,West,0
40,Female,Teacher,North,0
45,Male,Artist,South,0
60,Male,Engineer,West,1
48,Male,Teacher,North,1
52,Male,Artist,North,0
43,Male,Engineer,West,1
60,Female,Artist,West,0
46,Male,Teacher,West,0
20,Female,Engineer,South,0
31,Male,Artist,West,0
22,Female,Teacher,North,1
31,Female,Artist,North,0
46,Female,Artist,East,0
57,Female,Teacher,West,0
55,Male,Engineer,East,1
42,Female,Artist,South,0
38,Female,Teacher,West,0
53,Female,Teacher,East,0
50,Female,Teacher,North,0
46,Male,Doctor,South,0
22,Male,Artist,South,0
23,Male,Teacher,North,0
28,Female,Doctor,West,0
22,Male,Doctor,South,0
23,Male,Teacher,North,0
55,Female,Teacher,South,0
51,Female,Artist,South,1
50,Male,Doctor,South,0
28,Female,Teacher,East,1
22,Male,Engineer,South,0
32,Male,Doctor,East,0
32,Male,Doctor,North,1
58,Female,Engineer,East,1
20,Female,Teacher,East,1
36,Male,Doctor,South,0
30,Female,Engineer,East,0
51,Female,Engineer,North,1
59,Female,Artist,South,0
38,Female,Doctor,West,0
43,Female,Engineer,South,1
37,Female,Teacher,North,0
58,Male,Teacher,East,0
48,Male,Doctor,East,0
44,Female,Teacher,South,0
33,Female,Doctor,South,0
47,Male,Doctor,South,0
26,Female,Engineer,South,0
44,Male,Engineer,South,1
36,Female,Artist,North,0
50,Male,Artist,West,0
35,Male,Engineer,West,1
28,Male,Doctor,West,0
30,Female,Engineer,West,0
48,Male,Teacher,West,1
29,Male,Artist,East,0
57,Female,Engineer,West,1
49,Female,Doctor,East,0
21,Male,Doctor,East,0
52,Male,Doctor,South,0
55,Male,Engineer,South,1
32,Female,Doctor,East,0
57,Male,Teacher,East,0
29,Female,Artist,South,0
31,Female,Teacher,East,1
49,Female,Teacher,North,0
55,Female,Artist,South,0
29,Female,Artist,East,0
52,Female,Artist,West,0
51,Female,Doctor,West,0
50,Male,Doctor,North,1
60,Female,Artist,West,0
35,Male,Artist,West,0
58,Female,Doctor,South,0
20,Male,Engineer,South,0
33,Female,Teacher,South,1
33,Female,Artist,West,0
26,Male,Engineer,East,0
35,Male,Doctor,West,0
44,Female,Engineer,North,1
52,Female,Artist,West,0
43,Male,Teacher,South,0
32,Female,Artist,West,1
33,Male,Engineer,East,1
23,Male,Doctor,South,0
27,Male,Doctor,East,0
60,Female,Doctor,West,0
47,Male,Teacher,West,0
49,Male,Artist,South,1
39,Male,Engineer,North,0
23,Male,Doctor,East,0
37,Female,Engineer,North,1
45,Female,Teacher,West,0
35,Female,Teacher,East,0
41,Male,Engineer,East,1
28,Female,Doctor,South,0
44,Female,Doctor,West,0
22,Female,Artist,East,0
50,Female,Artist,South,0
50,Female,Artist,South,0
30,Female,Artist,East,0
38,Female,Doctor,West,0
49,Female,Teacher,North,0
28,Male,Engineer,West,0
45,Female,Engineer,West,1
22,Male,Teacher,East,0
40,Male,Engineer,South,1
23,Female,Teacher,East,1
27,Male,Artist,South,0
20,Female,Doctor,North,1
28,Female,Engineer,West,0
35,Female,Artist,South,0
48,Male,Artist,West,0
25,Female,Doctor,East,0
20,Male,Engineer,South,0
33,Male,Teacher,South,0
47,Female,Engineer,East,1
45,Male,Teacher,West,0
58,Female,Engineer,East,1
43,Female,Artist,East,1
45,Male,Engineer,East,1
59,Male,Engineer,South,1
34,Male,Engineer,East,1
59,Male,Engineer,West,1
34,Female,Artist,South,0
46,Male,Artist,East,1
59,Female,Doctor,North,1
57,Female,Doctor,South,0
21,Female,Artist,South,1
34,Male,Engineer,South,1
43,Male,Engineer,South,1
60,Female,Teacher,West,0
45,Female,Artist,West,0
23,Male,Engineer,North,0
51,Female,Teacher,West,0
52,Male,Doctor,South,0
24,Female,Doctor,West,0
59,Male,Engineer,West,1
44,Female,Teacher,South,0
55,Male,Doctor,North,1
28,Female,Teacher,North,1
34,Male,Doctor,West,0
59,Male,Artist,West,0
51,Male,Artist,North,0
30,Male,Teacher,South,0
29,Female,Teacher,North,1
57,Female,Artist,South,0
35,Female,Engineer,North,1
39,Male,Engineer,North,1
47,Female,Teacher,West,0
57,Female,Artist,North,0
35,Male,Artist,East,0
47,Male,Teacher,East,0
39,Female,Artist,West,0
51,Female,Artist,South,0
43,Male,Engineer,South,0
47,Male,Artist,East,0
34,Female,Engineer,West,1
23,Female,Engineer,South,0
38,Female,Teacher,North,1
40,Male,Artist,West,0
29,Female,Engineer,East,0
55,Female,Teacher,South,1
35,Female,Artist,East,0
29,Female,Teacher,South,1
35,Female,Teacher,West,0
26,Female,Engineer,East,0
45,Female,Teacher,East,0
25,Female,Artist,West,0
40,Male,Doctor,East,0
59,Female,Engineer,South,0
28,Male,Teacher,North,0
21,Male,Engineer,West,0
39,Female,Engineer,East,1
50,Male,Artist,East,0
45,Female,Teacher,East,0
37,Male,Teacher,West,1
23,Male,Artist,East,0
28,Male,Artist,North,0
42,Female,Doctor,East,0
47,Male,Teacher,West,0
60,Male,Doctor,East,0
54,Male,Artist,South,0
36,Female,Engineer,East,1
36,Male,Teacher,South,0
26,Male,Artist,North,0
55,Male,Artist,North,0
52,Female,Engineer,West,1
32,Male,Artist,North,0
22,Female,Artist,North,0
50,Female,Doctor,West,0
60,Male,Artist,East,0
35,Male,Doctor,North,1
24,Male,Engineer,West,0
31,Female,Artist,West,0
49,Male,Doctor,North,1
44,Male,Engineer,North,1
38,Female,Doctor,South,0
51,Male,Artist,East,0
53,Male,Artist,East,0
26,Female,Engineer,East,0
27,Male,Doctor,East,0
26,Male,Doctor,West,0
35,Male,Doctor,East,0
36,Female,Artist,North,0
52,Female,Doctor,East,0
21,Male,Teacher,East,0
25,Female,Engineer,East,0
55,Female,Doctor,West,0
36,Female,Doctor,East,0
39,Female,Doctor,East,0
35,Male,Artist,West,0
43,Male,Teacher,East,1
49,Female,Teacher,South,0
37,Male,Engineer,West,1
52,Female,Artist,North,0
50,Female,Doctor,East,0
23,Female,Engineer,West,0
39,Male,Engineer,South,1
27,Male,Artist,East,0
30,Male,Teacher,East,0
20,Male,Artist,West,0
50,Female,Teacher,South,0
60,Female,Teacher,North,1
42,Male,Doctor,South,0
54,Male,Engineer,East,1
33,Male,Doctor,North,1
34,Male,Doctor,East,0
55,Female,Teacher,North,0
46,Female,Engineer,East,0
45,Male,Doctor,South,0
31,Female,Engineer,South,1
44,Male,Teacher,West,0
34,Male,Engineer,West,1
30,Female,Engineer,North,0
40,Female,Artist,South,0
41,Male,Doctor,North,1
50,Male,Artist,West,0
49,Female,Engineer,East,1
46,Male,Teacher,West,0
37,Male,Artist,North,0
51,Male,Engineer,South,1
24,Female,Engineer,East,0
55,Female,Doctor,East,0
48,Female,Artist,North,0
26,Female,Engineer,West,0
50,Male,Teacher,West,0
23,Female,Artist,West,0
42,Female,Doctor,South,0
20,Male,Artist,West,0
33,Male,Teacher,East,0
20,Male,Engineer,East,1
52,Female,Teacher,South,1
50,Male,Doctor,North,1
32,Female,Teacher,East,1
45,Female,Teacher,South,1
38,Female,Artist,West,0
59,Male,Engineer,West,1
38,Male,Doctor,East,0
60,Male,Doctor,South,0
50,Male,Artist,East,0
51,Female,Engineer,North,1
39,Male,Engineer,East,1
60,Male,Engineer,East,1
25,Female,Doctor,East,0
31,Male,Engineer,East,1
21,Male,Artist,South,0
55,Female,Teacher,West,0
24,Female,Engineer,South,0
29,Female,Engineer,South,0
54,Male,Artist,East,0
31,Female,Teacher,West,0
31,Female,Artist,West,0
30,Female,Teacher,South,1
30,Female,Artist,South,0
49,Female,Teacher,West,0
45,Female,Artist,North,0
50,Female,Doctor,North,1
39,Male,Artist,West,0
30,Male,Engineer,East,0
57,Female,Doctor,West,0
37,Male,Doctor,North,1
29,Female,Artist,West,0
29,Female,Doctor,South,0
60,Female,Teacher,West,0
40,Male,Engineer,West,1
58,Female,Doctor,East,0
43,Male,Artist,North,0
44,Female,Artist,West,0
51,Female,Teacher,West,0
54,Male,Artist,East,0
39,Male,Engineer,East,0
44,Female,Artist,East,0
23,Male,Artist,West,0
32,Male,Teacher,South,0
57,Male,Artist,East,0
23,Female,Teacher,West,1
55,Female,Doctor,West,0
49,Male,Teacher,South,0
45,Female,Teacher,North,0
48,Female,Doctor,East,0
47,Female,Artist,North,0
51,Male,Doctor,East,1
45,Male,Teacher,West,0
32,Female,Artist,South,1
47,Female,Engineer,West,1
45,Male,Doctor,West,0
25,Female,Engineer,South,0
44,Male,Engineer,South,0
33,Female,Doctor,East,0
28,Male,Teacher,East,0
50,Male,Teacher,West,0
25,Female,Engineer,North,0
27,Female,Engineer,West,0
45,Male,Doctor,East,0
26,Female,Engineer,East,0
45,Male,Teacher,North,0
40,Male,Engineer,South,1
25,Female,Artist,South,0
33,Male,Engineer,East,1
20,Male,Teacher,South,1
29,Male,Artist,East,0
31,Female,Teacher,East,1
21,Male,Artist,East,0
30,Male,Engineer,South,0
43,Female,Doctor,North,1
54,Female,Doctor,South,0
43,Male,Engineer,West,1
31,Male,Teacher,East,0
48,Female,Teacher,North,0
52,Female,Doctor,North,1
60,Male,Doctor,North,1
51,Male,Teacher,South,0
27,Female,Teacher,North,1
58,Female,Teacher,West,0
47,Female,Doctor,South,0
29,Male,Teacher,South,0
44,Female,Doctor,South,0
32,Male,Engineer,South,0
56,Female,Teacher,South,0
20,Female,Engineer,East,0
38,Male,Teacher,South,0
57,Female,Engineer,East,0
47,Male,Doctor,West,0
22,Male,Teacher,North,0
43,Male,Doctor,North,1
42,Female,Engineer,North,1
29,Female,Artist,West,0
50,Male,Engineer,West,1
51,Female,Artist,East,0
57,Female,Teacher,North,0
21,Female,Artist,South,0
55,Female,Teacher,South,0
47,Female,Teacher,South,0
33,Female,Teacher,South,0
56,Male,Engineer,East,1
54,Female,Engineer,East,1
56,Female,Artist,East,0
57,Female,Engineer,South,1
49,Male,Teacher,South,0
47,Male,Teacher,East,0
36,Male,Engineer,West,1
57,Male,Artist,North,1
58,Female,Engineer,East,1
28,Female,Doctor,North,0
34,Female,Teacher,East,1
39,Male,Doctor,West,0
45,Female,Artist,North,0
52,Male,Doctor,West,0
24,Female,Teacher,South,0
31,Male,Engineer,South,1
54,Female,Artist,South,0
39,Female,Engineer,West,1
47,Male,Engineer,West,1
46,Female,Artist,East,0
39,Male,Artist,North,0
37,Female,Doctor,East,0
24,Female,Artist,North,0
57,Male,Engineer,East,1
33,Male,Teacher,South,0
44,Female,Doctor,East,0
46,Male,Teacher,North,0
37,Male,Doctor,East,0
52,Female,Artist,South,0
23,Female,Doctor,East,0
49,Female,Doctor,North,1
23,Female,Doctor,West,0
49,Female,Engineer,East,1
49,Male,Teacher,South,0
35,Female,Engineer,West,1
60,Male,Artist,South,0
37,Female,Artist,South,0
46,Male,Doctor,North,1
27,Female,Artist,East,0
37,Male,Doctor,East,0
22,Female,Teacher,East,1
44,Male,Artist,West,0
50,Female,Teacher,North,0
43,Male,Teacher,East,0
26,Female,Artist,West,0
45,Female,Teacher,South,0
34,Female,Artist,North,0
33,Male,Doctor,East,0
59,Male,Engineer,North,0
30,Female,Teacher,South,1
37,Male,Doctor,North,1
35,Female,Artist,West,1
29,Male,Engineer,East,0
40,Female,Artist,East,0
57,Male,Engineer,South,1
52,Male,Teacher,North,0
46,Male,Doctor,West,0
52,Male,Artist,North,0
49,Female,Engineer,South,1
55,Female,Engineer,North,1
22,Male,Artist,South,0
22,Male,Engineer,South,0
43,Male,Doctor,North,1
59,Male,Doctor,North,1
38,Male,Teacher,East,0
39,Female,Teacher,North,0
35,Female,Artist,East,0
23,Male,Engineer,South,0
20,Male,Engineer,East,0
25,Male,Teacher,South,0
21,Female,Teacher,West,1
36,Female,Teacher,West,0
25,Female,Engineer,North,0
33,Female,Artist,South,0
51,Female,Artist,East,0
56,Male,Artist,South,0
56,Female,Teacher,East,1
21,Male,Artist,South,0
28,Female,Artist,South,0
28,Male,Doctor,North,1
57,Male,Doctor,West,0
48,Female,Doctor,East,0
60,Male,Doctor,East,0
36,Male,Doctor,West,0
47,Female,Engineer,South,1
24,Female,Engineer,North,0
36,Female,Engineer,South,1
28,Male,Engineer,North,0
53,Male,Doctor,East,0
33,Male,Artist,North,0
27,Female,Doctor,West,0
48,Male,Engineer,West,1
51,Male,Engineer,West,1
54,Female,Doctor,South,0
55,Female,Artist,East,0
47,Male,Teacher,West,1
60,Female,Artist,North,0
34,Female,Artist,South,0
25,Male,Doctor,North,1
25,Male,Teacher,East,0
57,Female,Teacher,South,0
28,Male,Doctor,West,0
36,Male,Doctor,North,1
37,Female,Teacher,South,0
28,Male,Engineer,West,0
52,Female,Artist,East,0
44,Male,Teacher,North,0
46,Male,Teacher,West,0
50,Female,Teacher,North,0
25,Male,Doctor,South,0
42,Female,Teacher,West,0
24,Female,Artist,North,0
56,Male,Doctor,West,0
42,Male,Artist,East,0
40,Female,Artist,West,0
29,Male,Doctor,West,1
48,Male,Doctor,South,0
34,Male,Teacher,South,0
26,Female,Artist,East,0
26,Male,Teacher,North,0
23,Female,Engineer,South,0
47,Male,Engineer,South,1
35,Female,Doctor,West,0
33,Female,Teacher,South,1
53,Male,Artist,North,0
50,Female,Doctor,West,0
55,Male,Artist,East,0
22,Male,Teacher,West,0
35,Male,Engineer,South,1
39,Male,Engineer,North,1
49,Male,Doctor,East,0
24,Female,Artist,South,0
58,Male,Engineer,East,1
30,Female,Doctor,North,1
51,Male,Doctor,South,0
26,Female,Engineer,North,0
41,Male,Artist,North,1
47,Female,Teacher,East,0
21,Female,Artist,North,0
31,Female,Artist,East,0
60,Female,Doctor,West,0
36,Female,Artist,East,0
56,Female,Artist,East,0
27,Male,Doctor,North,1
38,Female,Teacher,East,0
30,Male,Doctor,North,1
52,Male,Artist,South,0
26,Male,Engineer,South,0
33,Female,Engineer,North,1
35,Male,Teacher,East,0
55,Male,Engineer,South,1
59,Male,Engineer,West,1
56,Male,Engineer,North,1
36,Female,Doctor,South,1
41,Male,Doctor,East,0
54,Male,Teacher,South,0
56,Male,Doctor,North,1
51,Female,Doctor,South,0
36,Female,Doctor,North,1
22,Male,Doctor,South,0
24,Female,Artist,North,0
29,Female,Artist,North,0
51,Male,Teacher,North,0
22,Female,Teacher,East,1
25,Male,Teacher,North,0
20,Female,Artist,North,0
28,Male,Artist,East,0
40,Male,Artist,West,0
33,Female,Doctor,North,1
46,Male,Artist,North,0
44,Female,Teacher,East,0
35,Female,Teacher,East,0
32,Female,Teacher,West,1
20,Male,Engineer,West,1
58,Female,Engineer,East,1
47,Male,Engineer,West,1
36,Male,Engineer,East,1
23,Male,Engineer,East,0
60,Female,Artist,East,0
34,Female,Doctor,North,1
55,Female,Engineer,South,1
42,Female,Engineer,West,1
50,Female,Artist,West,0
43,Male,Engineer,East,0
60,Male,Artist,South,0
45,Female,Teacher,South,0
47,Female,Engineer,West,0
56,Female,Engineer,East,0
20,Female,Doctor,West,0
59,Male,Artist,West,0
39,Female,Doctor,South,0
20,Male,Doctor,South,0
48,Male,Doctor,South,0
54,Female,Teacher,North,1
42,Male,Engineer,South,1
32,Female,Teacher,West,1
20,Male,Engineer,South,0
49,Female,Engineer,North,1
37,Male,Artist,West,0
26,Male,Doctor,West,0
27,Female,Doctor,North,1
22,Male,Engineer,North,0
52,Female,Artist,East,0
54,Male,Doctor,West,0
36,Female,Engineer,North,1
41,Male,Artist,North,0
22,Male,Teacher,North,0
37,Female,Teacher,North,0
27,Female,Engineer,South,0
38,Male,Artist,South,1
55,Male,Teacher,South,0
55,Male,Doctor,North,0
49,Male,Teacher,South,0
31,Male,Doctor,West,0
25,Male,Doctor,West,0
29,Male,Engineer,South,1
32,Female,Engineer,West,0
33,Female,Doctor,South,0
54,Female,Doctor,South,0
36,Female,Doctor,West,0
50,Male,Engineer,South,1
56,Female,Doctor,East,0
57,Female,Doctor,South,0
32,Male,Teacher,South,0
52,Male,Doctor,South,0
58,Female,Teacher,East,0
48,Female,Artist,South,0
41,Male,Teacher,West,0
25,Male,Artist,North,0
42,Male,Doctor,West,0
32,Male,Engineer,North,1
39,Male,Teacher,East,0
29,Male,Doctor,East,0
31,Female,Engineer,South,1
56,Male,Doctor,East,0
22,Female,Artist,North,0
29,Female,Doctor,East,0
45,Female,Teacher,North,0
29,Female,Teacher,North,1
49,Female,Artist,West,1
58,Female,Doctor,East,0
57,Female,Artist,West,0
56,Male,Artist,West,0
23,Female,Engineer,West,1
23,Male,Doctor,East,0
22,Female,Doctor,West,0
36,Male,Teacher,East,0
29,Female,Engineer,West,0
59,Female,Artist,South,0
49,Female,Engineer,South,1
21,Male,Doctor,South,0
44,Male,Artist,West,0
40,Male,Doctor,North,1
21,Female,Engineer,West,0
55,Female,Teacher,North,0
57,Male,Artist,North,0
57,Male,Engineer,South,1
45,Female,Doctor,West,0
55,Female,Artist,East,1
51,Male,Teacher,South,0
32,Male,Engineer,East,1
31,Female,Engineer,East,1
57,Male,Artist,North,0
44,Male,Doctor,West,0
51,Female,Engineer,North,1
29,Female,Doctor,South,0
34,Female,Artist,East,0
54,Male,Doctor,North,1
46,Female,Doctor,South,0
23,Male,Engineer,South,0
44,Male,Artist,South,0
60,Male,Artist,North,0
55,Male,Artist,North,0
34,Female,Teacher,West,1
51,Male,Teacher,East,1
39,Male,Engineer,North,1
34,Female,Artist,East,0
47,Male,Artist,West,0
37,Female,Teacher,North,1
45,Male,Artist,West,0
34,Male,Engineer,South,0
35,Female,Artist,South,0
31,Female,Engineer,South,1
35,Male,Doctor,South,0
60,Male,Doctor,West,0
44,Female,Artist,East,0
27,Female,Doctor,West,0
60,Female,Doctor,East,0
30,Female,Engineer,East,0
24,Male,Doctor,North,1
33,Male,Doctor,North,1
45,Male,Artist,West,0
37,Female,Artist,West,0
51,Female,Doctor,South,0
36,Male,Engineer,East,1
31,Male,Artist,North,0
58,Female,Artist,East,0
59,Male,Teacher,North,0
37,Male,Doctor,South,0
46,Female,Doctor,North,1
49,Female,Doctor,West,0
39,Male,Doctor,South,0
32,Male,Teacher,South,0
49,Male,Teacher,South,0
45,Female,Engineer,West,1
28,Female,Artist,North,0
38,Female,Artist,East,0
50,Male,Doctor,South,1
20,Male,Artist,East,0
39,Female,Doctor,North,1
30,Male,Artist,South,1
24,Female,Doctor,East,0
35,Female,Engineer,South,1
53,Male,Doctor,South,1
47,Male,Artist,East,0
59,Female,Artist,North,0
42,Female,Artist,North,0
46,Female,Artist,South,0
59,Male,Doctor,South,0
20,Male,Doctor,North,1
37,Male,Engineer,South,1
30,Male,Engineer,East,1
42,Male,Doctor,North,1
45,Female,Artist,East,0
40,Female,Engineer,North,1
37,Male,Doctor,East,0
34,Male,Engineer,North,1
22,Male,Engineer,West,0
49,Female,Engineer,West,1
37,Male,Doctor,South,0
37,Male,Teacher,East,0
39,Female,Doctor,North,1
45,Female,Doctor,North,1
32,Male,Artist,West,0
42,Female,Teacher,North,0
56,Male,Doctor,East,0
38,Male,Teacher,West,0
25,Male,Artist,South,0
37,Male,Doctor,East,1
33,Female,Artist,North,0
29,Male,Teacher,North,1
48,Male,Artist,East,0
38,Male,Teacher,North,0
59,Female,Teacher,East,0
47,Male,Doctor,East,0
33,Female,Teacher,North,1
55,Male,Teacher,South,0
49,Male,Engineer,South,1
29,Male,Artist,South,0
22,Female,Engineer,North,0
59,Male,Artist,West,0
54,Female,Engineer,West,1
30,Female,Doctor,South,0
51,Female,Doctor,East,0
23,Female,Teacher,West,0
34,Female,Doctor,North,1
50,Female,Engineer,North,1
27,Female,Artist,South,0
37,Female,Doctor,West,0
54,Male,Teacher,East,0
49,Male,Teacher,West,0
32,Male,Teacher,South,0
46,Female,Artist,East,0
42,Male,Engineer,East,1
49,Male,Teacher,North,0
59,Male,Artist,South,0
58,Male,Engineer,South,1
33,Male,Engineer,East,1
41,Female,Doctor,North,1
60,Female,Doctor,North,1
39,Male,Artist,West,0
48,Female,Artist,North,0
54,Female,Doctor,North,1
24,Male,Doctor,West,0
35,Female,Artist,East,0
48,Male,Doctor,South,0
23,Female,Artist,East,0
52,Male,Artist,North,0
25,Female,Engineer,North,0
34,Male,Doctor,West,0
43,Male,Artist,South,0
29,Male,Doctor,South,0
21,Male,Artist,East,0
46,Female,Artist,West,0
58,Female,Engineer,West,1
25,Female,Teacher,North,1
45,Female,Artist,East,0
37,Female,Engineer,North,1
57,Female,Teacher,West,0
23,Female,Artist,North,0
46,Female,Doctor,South,0
54,Male,Doctor,West,0
37,Female,Doctor,North,1
55,Female,Teacher,North,0
36,Male,Engineer,North,1
39,Female,Artist,South,1
57,Female,Engineer,West,1
27,Male,Artist,North,0
42,Male,Doctor,South,0
59,Male,Teacher,West,0
46,Female,Doctor,North,1
20,Female,Engineer,East,0
42,Male,Engineer,South,1
41,Male,Engineer,North,1
56,Female,Engineer,West,1
34,Female,Engineer,East,1
45,Male,Teacher,South,0
24,Male,Doctor,West,0
32,Male,Teacher,East,0
42,Female,Doctor,South,0
60,Female,Teacher,East,0
25,Female,Artist,West,0
53,Female,Artist,North,0
27,Male,Engineer,North,0
57,Female,Engineer,South,1
36,Female,Engineer,West,1
59,Female,Artist,East,0
34,Female,Artist,South,0
29,Male,Doctor,South,0
23,Female,Teacher,West,1
34,Female,Engineer,South,1
33,Male,Artist,South,0
25,Female,Artist,East,0
22,Female,Engineer,North,0
33,Male,Teacher,South,0
50,Female,Doctor,East,0
43,Male,Doctor,North,1
31,Male,Engineer,North,1
31,Female,Teacher,South,1
25,Female,Teacher,East,1
53,Male,Teacher,South,0
51,Female,Artist,East,1
22,Male,Doctor,East,0
24,Female,Artist,North,0
25,Male,Teacher,North,0
46,Female,Doctor,West,0
54,Male,Artist,East,0
24,Male,Teacher,North,0
25,Male,Teacher,South,0
43,Female,Artist,South,0
46,Male,Engineer,North,1
44,Male,Artist,North,0
39,Male,Doctor,South,1
58,Female,Teacher,South,1
50,Female,Teacher,East,0
21,Male,Engineer,East,0
37,Male,Engineer,West,1
20,Female,Teacher,South,1
44,Female,Teacher,East,0
27,Male,Doctor,North,1
21,Female,Doctor,South,0
50,Female,Doctor,South,0
32,Male,Artist,West,0
54,Male,Engineer,East,1
42,Female,Engineer,West,1
50,Male,Teacher,East,0
23,Female,Artist,North,0
48,Male,Doctor,North,1
23,Female,Artist,North,0
59,Male,Artist,South,0
56,Male,Teacher,East,0
38,Male,Teacher,South,0
36,Male,Doctor,West,0
49,Female,Teacher,West,0
